season,course_cd,course_id
0,0,1pvLqtotBsKv7QSOsLicJDQMHx3lui6d
0,1,3VkHkmOtom3jM2wCu94xgzzu1d6Dn7or
1,2,3cnZpv6ReApmCaZyaQwi2izDZxVRdC01
0,3,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
1,4,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2
1,5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx
0,6,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
1,7,9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz
1,8,9Mq1P5hrrLw6Bh9X4W4ZjisQJDdxjz9x
1,9,9zpXzW9zCfU8KGBWkhlsGH8B8czISH4J
1,10,A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3
1,11,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
0,12,DABrJ6O4AotFwuAbfo1fuMj40VmMpPGX
1,13,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
0,14,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
1,15,G8EPVSXsOYB5YQWZGiz1aVq5Pgr2GrQu
1,16,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
1,17,HbeAZjZFFQUe90oTP0RRO0PEtRAqU3kK
0,18,I7Go4XwWgpjRJM8EZGEnBpkfSmBNOlsO
1,19,KHPw0gmg1Ad3V07TqRpyBzA8mRjj7mkt
1,20,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
1,21,RXDvfPUBYFlVdlueBFbLW0mhhAyGEqpt
1,22,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
1,23,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx
1,24,V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE
1,25,WM572q68zD5VW8pcvVTc1RhhFUq3iRFN
0,26,Wm3dddHSynJ76EJV6hyLYKGGRL0JF3YK
1,27,X78EhlW2JxwO1I6S3U4yZVwkEQpKXLOj
1,28,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
1,29,bWdj2GDclj5ofokWjzoa5jAwMkxCykd6
0,30,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1,31,gvEwgd64UX4t3K7ftZwXiMkFuxFUAqQE
0,32,mTmmr5zd8l4wXhwiULwjSmSbi9ktcFmV
0,33,nSfGxfEtzw5G72fVbfaowxsV46Pg1xIc
0,34,q6A6QG7qMpyNcznyT2XaIxnfNGkZRxXl
1,35,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
0,36,tXbz2ZYaRyb2ZsWUBPoYzAmisOhHQrYl
1,37,xMd9DzNyUCTLRPVbwWVzf4vq06oqrTT1
1,38,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
